Transaction_ID,Date,Product_Category,Product_Name,City,Region,Customer_Segment,Payment_Method,Sales_Rep,Units_Sold,Unit_Price,Unit_Cost,Revenue,COGS,Marketing_Expense,Shipping_Expense,Operating_Expense,Total_Expense,Net_Profit,Profit_Margin_Pct
TXN-1029,2026-06-03,Electronics,Ultra-Wide Monitor 34,Phoenix,West,SMB,Credit Card,Fiona Gallagher,5,641.64,370.41,3208.2,1852.05,283.85,62.89,190.61,2389.4,818.8,25.52
TXN-1030,2024-03-09,Electronics,Smart Display 10,Chicago,Midwest,Enterprise,Direct Invoice,Bob Jones,20,367.19,196.93,7343.8,3938.6,713.63,229.95,468.84,5351.02,1992.78,27.14
TXN-1031,2024-04-09,Software,Security Firewall Pro,Seattle,West,SMB,Wire Transfer,Alice Smith,5,875.02,222.55,4375.1,1112.75,592.88,72.21,542.52,2320.36,2054.74,46.96
TXN-1032,2026-05-01,Hardware,Gigabit Switch 24-Port,Miami,East,SMB,Credit Card,Evan Wright,3,473.09,263.27,1419.27,789.81,178.31,34.54,127.94,1130.6,288.67,20.34
TXN-1033,2024-01-12,Software,Enterprise ERP License,Miami,East,SMB,PayPal,Alice Smith,2,2427.59,517.24,4855.18,1034.48,300.35,26.29,365.64,1726.76,3128.42,64.43
TXN-1034,2025-05-15,Software,Enterprise ERP License,Los Angeles,West,SMB,Credit Card,Evan Wright,1,2519.19,496.17,2519.19,496.17,265.73,10.76,282.64,1055.3,1463.89,58.11
TXN-1035,2024-04-05,Services,Annual IT Maintenance Plan,Phoenix,West,Consumer,Credit Card,Charlie Davis,1,1764.79,602.06,1764.79,602.06,175.99,8.9,151.01,937.96,826.83,46.85
TXN-1036,2025-09-03,Hardware,Rack Server Blade X,San Francisco,West,Consumer,Credit Card,Diana Prince,6,3290.51,2096.33,19743.06,12577.98,1963.29,35.0,1170.04,15746.31,3996.75,20.24
TXN-1037,2026-06-09,Services,Annual IT Maintenance Plan,Phoenix,West,Consumer,PayPal,Evan Wright,5,1798.39,573.45,8991.95,2867.25,934.82,47.08,1049.41,4898.56,4093.39,45.52
TXN-1038,2025-10-19,Hardware,Rack Server Blade X,Seattle,West,Consumer,Credit Card,Evan Wright,6,2987.06,2142.2,17922.36,12853.2,1179.67,79.31,1807.03,15919.21,2003.15,11.18
TXN-1039,2024-06-13,Office Supplies,High-Speed Paper Shredder,New York,East,Consumer,Credit Card,Alice Smith,5,187.3,88.89,936.5,444.45,62.45,63.86,128.88,699.64,236.86,25.29
TXN-1040,2026-05-07,Office Supplies,Standing Desk Converter,Miami,East,Enterprise,Wire Transfer,Diana Prince,24,262.92,134.65,6310.08,3231.6,706.33,299.05,650.91,4887.89,1422.19,22.54
TXN-1041,2024-07-09,Hardware,Rack Server Blade X,San Francisco,West,Consumer,Wire Transfer,Evan Wright,6,3354.68,2200.36,20128.08,13202.16,2102.99,49.36,1143.03,16497.54,3630.54,18.04
TXN-1042,2026-02-02,Services,Cybersecurity Audit,Miami,East,Government,Wire Transfer,Alice Smith,26,2268.9,796.36,58991.4,20705.36,6501.13,281.92,6693.54,34181.95,24809.45,42.06
TXN-1043,2024-01-12,Software,Security Firewall Pro,Los Angeles,West,SMB,Direct Invoice,Diana Prince,5,819.72,213.14,4098.6,1065.7,397.96,42.67,397.05,1903.38,2195.22,53.56
TXN-1044,2024-02-10,Hardware,NAS Storage Enclosure,Austin,South,Enterprise,Credit Card,Alice Smith,25,819.16,488.87,20479.0,12221.75,1495.16,352.73,2280.07,16349.71,4129.29,20.16
TXN-1045,2024-09-12,Services,Cybersecurity Audit,San Francisco,West,SMB,Direct Invoice,Fiona Gallagher,2,2218.16,773.19,4436.32,1546.38,412.14,25.55,450.11,2434.18,2002.14,45.13
TXN-1046,2026-02-17,Services,Cloud Migration Consulting,San Francisco,West,Government,PayPal,Alice Smith,22,3255.57,1144.42,71622.54,25177.24,5064.3,113.01,4020.45,34375.0,37247.54,52.01
TXN-1047,2025-12-09,Services,Cloud Migration Consulting,Miami,East,SMB,Credit Card,Evan Wright,5,3643.97,1185.34,18219.85,5926.7,1444.59,35.25,1268.16,8674.7,9545.15,52.39
TXN-1048,2026-02-10,Electronics,Laptop Pro 15,Los Angeles,West,SMB,Direct Invoice,Bob Jones,2,1203.9,770.42,2407.8,1540.84,244.66,27.04,267.07,2079.61,328.19,13.63
TXN-1049,2026-01-03,Office Supplies,Ergonomic Executive Desk,New York,East,Enterprise,PayPal,Evan Wright,25,868.95,463.73,21723.75,11593.25,2873.01,279.32,2633.63,17379.21,4344.54,20.0
TXN-1050,2026-04-29,Office Supplies,Standing Desk Converter,Boston,East,Enterprise,Wire Transfer,Alice Smith,28,298.39,137.17,8354.92,3840.76,851.27,335.34,931.12,5958.49,2396.43,28.68
TXN-1051,2025-02-04,Software,Enterprise ERP License,Chicago,Midwest,SMB,Wire Transfer,Fiona Gallagher,5,2438.97,485.46,12194.85,2427.3,1297.19,42.08,1115.98,4882.55,7312.3,59.96
TXN-1052,2026-04-27,Office Supplies,Mesh Office Chair,Los Angeles,West,Enterprise,Direct Invoice,Alice Smith,7,339.17,160.24,2374.19,1121.68,327.28,77.14,225.22,1751.32,622.87,26.24
TXN-1053,2025-04-10,Hardware,Gigabit Switch 24-Port,Austin,South,Enterprise,Credit Card,Evan Wright,13,439.63,270.25,5715.19,3513.25,401.78,107.91,439.95,4462.89,1252.3,21.91
TXN-1054,2024-02-16,Electronics,Smart Display 10,Los Angeles,West,Consumer,PayPal,Evan Wright,1,337.51,206.12,337.51,206.12,40.45,6.85,64.05,317.47,20.04,5.94
TXN-1055,2025-12-26,Software,Security Firewall Pro,Phoenix,West,SMB,Wire Transfer,Evan Wright,2,786.99,214.55,1573.98,429.1,184.26,27.9,187.0,828.26,745.72,47.38
TXN-1056,2024-09-30,Software,Cloud Storage Annual,Miami,East,SMB,Direct Invoice,Alice Smith,7,392.15,76.16,2745.05,533.12,235.43,49.8,227.37,1045.72,1699.33,61.91
TXN-1057,2024-05-24,Services,Annual IT Maintenance Plan,Chicago,Midwest,SMB,Credit Card,Evan Wright,2,1681.03,602.23,3362.06,1204.46,359.56,24.91,297.35,1886.28,1475.78,43.9
TXN-1058,2025-02-28,Services,Cloud Migration Consulting,Chicago,Midwest,SMB,Wire Transfer,Charlie Davis,3,3772.45,1212.69,11317.35,3638.07,893.82,18.05,721.72,5271.66,6045.69,53.42
TXN-1059,2025-05-30,Office Supplies,Mesh Office Chair,Los Angeles,West,Consumer,PayPal,Charlie Davis,3,295.33,163.15,885.99,489.45,123.84,41.9,155.07,810.26,75.73,8.55
TXN-1060,2026-04-26,Electronics,Smart Display 10,Los Angeles,West,SMB,Wire Transfer,Alice Smith,2,353.18,201.43,706.36,402.86,58.2,25.39,83.99,570.44,135.92,19.24
TXN-1061,2026-02-25,Hardware,Rack Server Blade X,Chicago,Midwest,Enterprise,PayPal,Alice Smith,18,3091.78,2117.06,55652.04,38107.08,4026.37,176.61,4880.49,47190.55,8461.49,15.2
TXN-1062,2025-11-20,Software,Enterprise ERP License,Phoenix,West,SMB,Wire Transfer,Evan Wright,2,2335.15,481.94,4670.3,963.88,281.23,12.33,444.57,1702.01,2968.29,63.56
TXN-1063,2025-02-22,Electronics,Laptop Pro 15,Boston,East,Enterprise,Direct Invoice,Charlie Davis,13,1143.36,740.94,14863.68,9632.22,1993.46,158.81,860.12,12644.61,2219.07,14.93
TXN-1064,2026-02-17,Electronics,Laptop Pro 15,Miami,East,Enterprise,Credit Card,Charlie Davis,18,1204.43,739.41,21679.74,13309.38,2822.18,160.64,2369.59,18661.79,3017.95,13.92
TXN-1065,2025-06-09,Office Supplies,Ergonomic Executive Desk,Austin,South,SMB,PayPal,Alice Smith,1,830.33,445.12,830.33,445.12,85.15,5.67,107.4,643.34,186.99,22.52
TXN-1066,2024-07-16,Office Supplies,Standing Desk Converter,Miami,East,Enterprise,Direct Invoice,Diana Prince,19,296.96,139.94,5642.24,2658.86,673.21,203.9,741.3,4277.27,1364.97,24.19
TXN-1067,2025-02-14,Electronics,Smart Display 10,Chicago,Midwest,SMB,Wire Transfer,Evan Wright,3,364.26,192.06,1092.78,576.18,112.47,26.36,145.83,860.84,231.94,21.22
TXN-1068,2024-01-15,Services,Annual IT Maintenance Plan,Chicago,Midwest,SMB,Wire Transfer,Charlie Davis,7,1828.35,603.93,12798.45,4227.51,1501.19,76.93,1458.19,7263.82,5534.63,43.24
TXN-1069,2026-05-21,Software,Cloud Storage Annual,Seattle,West,SMB,Wire Transfer,Bob Jones,1,384.38,81.81,384.38,81.81,41.3,6.02,111.34,240.47,143.91,37.44
TXN-1070,2026-03-15,Software,Enterprise ERP License,Seattle,West,Enterprise,PayPal,Evan Wright,18,2673.75,521.28,48127.5,9383.04,4623.47,110.38,5794.57,19911.46,28216.04,58.63
TXN-1071,2024-06-30,Electronics,Laptop Pro 15,Austin,South,SMB,Direct Invoice,Evan Wright,7,1114.51,737.64,7801.57,5163.48,969.18,35.32,616.1,6784.08,1017.49,13.04
TXN-1072,2025-06-20,Software,Data Analytics Suite,Austin,South,Enterprise,Wire Transfer,Charlie Davis,6,1600.43,302.61,9602.58,1815.66,601.39,84.76,701.64,3203.45,6399.13,66.64
TXN-1073,2024-06-28,Services,Annual IT Maintenance Plan,New York,East,Consumer,PayPal,Fiona Gallagher,2,1659.77,609.81,3319.54,1219.62,246.45,29.22,245.4,1740.69,1578.85,47.56
TXN-1074,2025-04-20,Services,Annual IT Maintenance Plan,Phoenix,West,SMB,Credit Card,Fiona Gallagher,7,1778.92,617.99,12452.44,4325.93,1095.2,67.78,1210.06,6698.97,5753.47,46.2
TXN-1075,2024-05-23,Office Supplies,Mesh Office Chair,New York,East,Consumer,PayPal,Bob Jones,2,321.76,159.7,643.52,319.4,64.2,25.31,76.88,485.79,157.73,24.51
TXN-1076,2024-02-24,Office Supplies,High-Speed Paper Shredder,Seattle,West,Enterprise,Wire Transfer,Bob Jones,5,166.33,86.91,831.65,434.55,97.53,57.95,76.48,666.51,165.14,19.86
TXN-1077,2025-03-18,Services,Cloud Migration Consulting,San Francisco,West,Consumer,PayPal,Charlie Davis,1,3531.76,1226.5,3531.76,1226.5,439.44,14.89,394.12,2074.95,1456.81,41.25
TXN-1078,2025-03-27,Hardware,Rack Server Blade X,Austin,South,Enterprise,PayPal,Bob Jones,11,3268.22,2149.54,35950.42,23644.94,4596.27,68.51,4061.69,32371.41,3579.01,9.96
TXN-1079,2024-03-22,Software,Enterprise ERP License,Houston,South,Enterprise,Wire Transfer,Bob Jones,7,2536.12,488.4,17752.84,3418.8,1951.6,63.66,1619.84,7053.9,10698.94,60.27
TXN-1080,2026-05-16,Hardware,Gigabit Switch 24-Port,Austin,South,Consumer,Credit Card,Bob Jones,6,449.1,270.26,2694.6,1621.56,334.1,55.51,175.09,2186.26,508.34,18.87
TXN-1081,2025-07-05,Software,Enterprise ERP License,San Francisco,West,Enterprise,Wire Transfer,Fiona Gallagher,15,2468.68,481.61,37030.2,7224.15,4889.68,178.68,3691.76,15984.27,21045.93,56.83
TXN-1082,2024-05-07,Services,Cloud Migration Consulting,Chicago,Midwest,SMB,Wire Transfer,Alice Smith,5,3584.8,1239.57,17924.0,6197.85,1371.43,25.55,1141.95,8736.78,9187.22,51.26
TXN-1083,2025-10-07,Office Supplies,High-Speed Paper Shredder,Boston,East,SMB,Credit Card,Evan Wright,7,182.11,93.04,1274.77,651.28,117.73,88.96,142.63,1000.6,274.17,21.51
TXN-1084,2026-04-01,Office Supplies,Ergonomic Executive Desk,Miami,East,Enterprise,PayPal,Bob Jones,25,895.84,447.17,22396.0,11179.25,2984.07,305.38,2153.7,16622.4,5773.6,25.78
TXN-1085,2024-02-24,Services,Annual IT Maintenance Plan,Seattle,West,Enterprise,Direct Invoice,Charlie Davis,7,1898.36,620.78,13288.52,4345.46,1812.81,45.83,1292.7,7496.8,5791.72,43.58
TXN-1086,2024-03-13,Electronics,Ultra-Wide Monitor 34,New York,East,SMB,Credit Card,Charlie Davis,2,645.81,363.89,1291.62,727.78,85.53,10.05,172.39,995.75,295.87,22.91
TXN-1087,2025-06-07,Office Supplies,Ergonomic Executive Desk,New York,East,Enterprise,Wire Transfer,Alice Smith,27,852.9,431.4,23028.3,11647.8,3146.9,339.77,2246.93,17381.4,5646.9,24.52
TXN-1088,2025-04-29,Electronics,Smart Display 10,San Francisco,West,SMB,PayPal,Bob Jones,1,374.87,190.79,374.87,190.79,43.65,14.25,77.56,326.25,48.62,12.97
TXN-1089,2024-09-06,Services,Cybersecurity Audit,San Francisco,West,Enterprise,Direct Invoice,Bob Jones,27,2303.96,819.61,62206.92,22129.47,4005.54,257.89,5443.95,31836.85,30370.07,48.82
TXN-1090,2025-06-09,Office Supplies,High-Speed Paper Shredder,Boston,East,Consumer,PayPal,Bob Jones,7,177.25,90.65,1240.75,634.55,154.25,72.69,183.78,1045.27,195.48,15.75
TXN-1091,2024-06-09,Services,Cloud Migration Consulting,Boston,East,Enterprise,Wire Transfer,Bob Jones,27,3323.86,1186.08,89744.22,32024.16,12080.22,153.91,4569.96,48828.25,40915.97,45.59
TXN-1092,2025-04-21,Services,Annual IT Maintenance Plan,Los Angeles,West,Enterprise,Credit Card,Bob Jones,29,1752.87,601.35,50833.23,17439.15,6027.89,145.97,4242.33,27855.34,22977.89,45.2
TXN-1093,2024-11-19,Software,Cloud Storage Annual,Houston,South,Enterprise,Credit Card,Evan Wright,18,370.89,76.88,6676.02,1383.84,609.72,112.4,848.63,2954.59,3721.43,55.74
TXN-1094,2025-01-14,Office Supplies,Mesh Office Chair,Boston,East,Enterprise,Direct Invoice,Diana Prince,12,342.67,162.39,4112.04,1948.68,446.65,121.52,302.59,2819.44,1292.6,31.43
TXN-1095,2024-08-05,Electronics,Laptop Pro 15,Seattle,West,Consumer,Wire Transfer,Evan Wright,5,1224.92,728.72,6124.6,3643.6,621.41,54.86,566.94,4886.81,1237.79,20.21
TXN-1096,2025-02-22,Software,Cloud Storage Annual,New York,East,Enterprise,Direct Invoice,Charlie Davis,10,407.87,81.98,4078.7,819.8,256.1,139.49,496.95,1712.34,2366.36,58.02
TXN-1097,2024-11-18,Office Supplies,High-Speed Paper Shredder,San Francisco,West,Enterprise,Wire Transfer,Diana Prince,14,188.91,91.4,2644.74,1279.6,275.23,82.18,250.22,1887.23,757.51,28.64
TXN-1098,2024-11-23,Office Supplies,Ergonomic Executive Desk,Seattle,West,SMB,Credit Card,Diana Prince,5,903.65,472.12,4518.25,2360.6,293.33,69.15,463.53,3186.61,1331.64,29.47
TXN-1099,2024-11-18,Software,Security Firewall Pro,New York,East,Consumer,PayPal,Diana Prince,1,803.4,212.53,803.4,212.53,69.67,7.39,118.83,408.42,394.98,49.16
TXN-1100,2025-10-28,Hardware,NAS Storage Enclosure,Houston,South,Consumer,Wire Transfer,Alice Smith,3,827.31,456.25,2481.93,1368.75,311.72,21.86,302.04,2004.37,477.56,19.24
TXN-1101,2024-09-14,Services,Annual IT Maintenance Plan,Phoenix,West,Enterprise,Credit Card,Fiona Gallagher,21,1817.24,576.95,38162.04,12115.95,3439.76,106.91,4122.78,19785.4,18376.64,48.15
TXN-1102,2025-04-11,Software,Enterprise ERP License,Boston,East,Enterprise,Direct Invoice,Fiona Gallagher,9,2341.0,521.86,21069.0,4696.74,2423.59,51.11,1559.81,8731.25,12337.75,58.56
TXN-1103,2025-02-04,Software,Cloud Storage Annual,New York,East,Enterprise,Direct Invoice,Charlie Davis,22,423.78,83.79,9323.16,1843.38,1282.03,274.92,616.55,4016.88,5306.28,56.92
TXN-1104,2024-01-07,Services,Cybersecurity Audit,New York,East,Enterprise,PayPal,Charlie Davis,15,2264.52,795.67,33967.8,11935.05,2781.63,224.57,2758.82,17700.07,16267.73,47.89
TXN-1105,2024-02-08,Services,Annual IT Maintenance Plan,Chicago,Midwest,Consumer,PayPal,Fiona Gallagher,4,1844.5,586.4,7378.0,2345.6,1003.92,26.04,668.8,4044.36,3333.64,45.18
TXN-1106,2026-05-18,Office Supplies,High-Speed Paper Shredder,Austin,South,Consumer,Credit Card,Charlie Davis,3,177.39,93.55,532.17,280.65,41.72,21.39,86.87,430.63,101.54,19.08
TXN-1107,2025-06-07,Software,Data Analytics Suite,Los Angeles,West,Enterprise,Credit Card,Alice Smith,25,1416.88,298.61,35422.0,7465.25,3628.22,129.47,3784.44,15007.38,20414.62,57.63
TXN-1108,2025-06-19,Hardware,Gigabit Switch 24-Port,Miami,East,Enterprise,PayPal,Alice Smith,18,457.08,262.79,8227.44,4730.22,656.58,190.51,570.91,6148.22,2079.22,25.27
TXN-1109,2025-12-26,Services,Annual IT Maintenance Plan,Boston,East,Consumer,PayPal,Evan Wright,1,1659.35,574.35,1659.35,574.35,151.66,9.8,190.16,925.97,733.38,44.2
TXN-1110,2024-10-27,Electronics,Laptop Pro 15,Austin,South,Government,PayPal,Fiona Gallagher,28,1124.15,730.65,31476.2,20458.2,4373.08,179.9,2730.12,27741.3,3734.9,11.87
TXN-1111,2025-10-21,Electronics,Smart Display 10,Los Angeles,West,Enterprise,Direct Invoice,Alice Smith,6,351.92,207.65,2111.52,1245.9,140.63,79.47,197.79,1663.79,447.73,21.2
TXN-1112,2024-06-14,Software,Cloud Storage Annual,Seattle,West,Consumer,Wire Transfer,Bob Jones,7,410.9,83.61,2876.3,585.27,201.16,97.74,320.56,1204.73,1671.57,58.12
TXN-1113,2024-08-10,Electronics,Smart Display 10,Los Angeles,West,Government,Direct Invoice,Fiona Gallagher,29,341.01,206.3,9889.29,5982.7,656.74,404.5,942.57,7986.51,1902.78,19.24
TXN-1114,2025-02-13,Office Supplies,Standing Desk Converter,San Francisco,West,Enterprise,Wire Transfer,Charlie Davis,22,260.3,136.46,5726.6,3002.12,416.69,301.79,452.76,4173.36,1553.24,27.12
TXN-1115,2024-12-21,Services,Annual IT Maintenance Plan,Phoenix,West,SMB,Direct Invoice,Charlie Davis,4,1815.94,613.15,7263.76,2452.6,568.58,59.85,917.85,3998.88,3264.88,44.95
TXN-1116,2025-12-14,Office Supplies,Standing Desk Converter,Austin,South,Enterprise,Credit Card,Diana Prince,21,296.5,143.18,6226.5,3006.78,743.55,194.35,504.36,4449.04,1777.46,28.55
TXN-1117,2025-06-15,Hardware,Gigabit Switch 24-Port,New York,East,SMB,Credit Card,Diana Prince,2,466.22,259.65,932.44,519.3,121.1,28.01,110.76,779.17,153.27,16.44
TXN-1118,2025-01-05,Software,Cloud Storage Annual,Miami,East,SMB,Direct Invoice,Evan Wright,7,383.09,82.21,2681.63,575.47,247.85,77.13,295.19,1195.64,1485.99,55.41
TXN-1119,2024-01-02,Services,Annual IT Maintenance Plan,Austin,South,SMB,Wire Transfer,Fiona Gallagher,4,1772.65,605.58,7090.6,2422.32,754.11,46.5,460.94,3683.87,3406.73,48.05
TXN-1120,2026-05-06,Electronics,Ultra-Wide Monitor 34,Boston,East,Consumer,Credit Card,Alice Smith,4,611.61,397.85,2446.44,1591.4,235.6,29.44,165.09,2021.53,424.91,17.37
TXN-1121,2025-08-27,Software,Security Firewall Pro,San Francisco,West,SMB,Direct Invoice,Charlie Davis,4,878.12,212.67,3512.48,850.68,257.85,21.47,416.51,1546.51,1965.97,55.97
TXN-1122,2024-06-13,Electronics,Laptop Pro 15,Los Angeles,West,Consumer,Direct Invoice,Fiona Gallagher,4,1207.66,715.06,4830.64,2860.24,671.15,24.92,342.79,3899.1,931.54,19.28
TXN-1123,2024-01-01,Office Supplies,Mesh Office Chair,Houston,South,Government,Credit Card,Alice Smith,26,324.34,163.01,8432.84,4238.26,774.05,254.77,847.61,6114.69,2318.15,27.49
TXN-1124,2024-08-04,Software,Enterprise ERP License,San Francisco,West,SMB,Direct Invoice,Charlie Davis,2,2437.06,501.61,4874.12,1003.22,341.48,12.65,369.07,1726.42,3147.7,64.58
TXN-1125,2026-06-10,Software,Enterprise ERP License,New York,East,SMB,Credit Card,Fiona Gallagher,5,2685.34,487.77,13426.7,2438.85,1516.29,73.93,1044.18,5073.25,8353.45,62.22
TXN-1126,2024-05-24,Software,Security Firewall Pro,Los Angeles,West,Consumer,PayPal,Alice Smith,6,906.94,222.21,5441.64,1333.26,736.09,79.61,580.77,2729.73,2711.91,49.84
TXN-1127,2024-08-07,Software,Cloud Storage Annual,Austin,South,Enterprise,Credit Card,Alice Smith,29,423.73,82.26,12288.17,2385.54,1294.7,359.15,1414.33,5453.72,6834.45,55.62
TXN-1128,2025-05-08,Hardware,Gigabit Switch 24-Port,Miami,East,Consumer,Wire Transfer,Evan Wright,1,436.84,269.59,436.84,269.59,39.34,7.97,81.39,398.29,38.55,8.82
TXN-1129,2024-03-05,Hardware,Gigabit Switch 24-Port,Phoenix,West,SMB,PayPal,Diana Prince,5,446.31,253.18,2231.55,1265.9,200.53,36.36,179.22,1682.01,549.54,24.63
TXN-1130,2025-09-13,Software,Cloud Storage Annual,San Francisco,West,SMB,Wire Transfer,Bob Jones,6,426.51,82.51,2559.06,495.06,175.84,38.94,257.05,966.89,1592.17,62.22
TXN-1131,2026-01-09,Office Supplies,High-Speed Paper Shredder,Phoenix,West,Consumer,Wire Transfer,Diana Prince,3,180.61,92.9,541.83,278.7,51.19,41.9,107.07,478.86,62.97,11.62
TXN-1132,2026-03-14,Office Supplies,Standing Desk Converter,Chicago,Midwest,Government,Wire Transfer,Charlie Davis,11,265.05,141.64,2915.55,1558.04,296.94,128.71,387.43,2371.12,544.43,18.67
TXN-1133,2025-10-09,Software,Security Firewall Pro,Boston,East,SMB,Credit Card,Diana Prince,2,798.58,212.99,1597.16,425.98,182.86,13.63,201.11,823.58,773.58,48.43
TXN-1134,2024-11-07,Electronics,Smart Display 10,Seattle,West,Government,Direct Invoice,Diana Prince,31,367.14,201.0,11381.34,6231.0,722.41,351.28,1383.14,8687.83,2693.51,23.67
